"id","length","NULL","Principal","SecondaryA","SecondaryU","Unproductive","SecondaryB"
"16002",0,NA,NA,NA,NA,NA,NA
"18017",2903.33798179558,3404.13103801462,0,0,0,0,0
"17001",1304.21851123151,1828.87606203659,0,2202.78267444663,0,0,0
"17002",38251.1030158853,2497.75663475537,0,894.659755894626,269.645417693095,0,265.994811303129
"17016",0,NA,NA,NA,NA,NA,NA
"21006",121467.270911618,1859.33607640465,0,0,0,0,1525.97162142331
"21010",169011.688664428,1651.92798796857,0,20.4982207476484,10.2868816891454,0,1665.1715190802
"18005",18171.1891682753,3852.2117828518,0,0,0,0,3.39116450246354
"19010",2403.69942265997,931.419828586724,0,9.00466558078482,0,0,2742.02720583108
"23015",140581.25669593,0,1798.78114543719,496.388264053244,8.61068322773133,0,1540.50767866649
"22002",10729.8566334926,0,0,0,0,0,3544.53483361878
"23014",5795.25588704922,0,357.276880914816,558.829364168357,72.8232628040278,0,2495.45294584833
"21027",17297.9902403792,0.454698403540505,0,290.610319684139,277.272273118784,0,1920.21540921713
"50011",0,NA,NA,NA,NA,NA,NA
"47016",3600.79647052661,0,0,1751.52133584965,0,0,0
"40025",189.219958473992,0,10.7133816242051,54.0598079373783,7.97607536527558,65.8077916293369,50.8720935709861
"41003",27693.7243638106,0,170.987005646389,1990.78205363552,215.507802730815,494.785748687449,157.212461318441
"33028",1725.35125251489,0,33.4919208040245,374.494570829012,7.66255113075139,31.548250360624,423.56888913669
"36006",58749.3111866028,0,220.149790477099,22.169358044866,0,33.7874833729347,1289.52987026687
"36008",31858.5294161394,0,205.306033629189,36.404836308764,0,29.2691281768707,1295.91955700739
"38026",11864.2056230938,0,222.522405773975,197.750640086962,0,77.4913292800308,968.59116628815
"38004",8949.67637610358,0,202.415485664791,277.481825722465,0,57.1287462660875,890.074617401935
"38005",3552.51090177546,0,230.812324317732,233.432048450311,0,49.3864374961754,959.079491584172
"44004",24457.838293216,128.141721205877,600.748606809747,45.8528618773484,545.970035203777,57.2611395484268,836.414443764275
"39043",40918.3839450832,0,396.82234778295,36.8490007523261,263.007258703373,254.800442179977,1248.42989328747
"41014",74664.6001937568,0,155.630963777455,585.569023626972,677.578907393408,1147.76672798493,219.490915100822
"43004",22367.529465427,24.2020976496886,293.654170580107,319.156028691245,397.265891959502,343.869220309186,1226.90567382626
"93002",12407.9397596289,3298.69357930771,0,0,0,0,0
"202002",41412.0569442383,2456.62617001329,0,0,0,0,0
"36010",9052.93765634522,0,215.591214072341,128.085389478613,0,33.2104042226645,1114.39476379211
"56001",51213.3831423109,0,2.26791321280111,1292.68509176499,0,0,1079.66299275409
"28016",0,NA,NA,NA,NA,NA,NA
"28019",384813.110213832,0,375.366168743063,752.018175527822,0,0,1139.58006218137
"28027",28378.8686440216,0,0.030046363214653,1792.9015714149,0,0,1010.78173501902
"28031",0,NA,NA,NA,NA,NA,NA
"28043",33442.6268616896,0,726.703103356053,1889.32387989794,0,0,580.442036028842
"28032",0,NA,NA,NA,NA,NA,NA
"27077",13174.6858865163,0,988.070168629025,1905.04605461044,0,0,2129.12428669222
"39046",368662.446532357,0,221.686053924765,624.869087162192,229.80706886044,7.01809634412455,1172.68508274053
"31025",3602.74574181736,0,9.7589321872038,0,250.903314103849,0,1069.73311303356
"33003",113079.463093486,0,133.781355013704,333.854062091547,7.79033073688934,45.9967556376756,1119.6347922954
"28112",5270.40282334008,0,53.3914082813739,1980.63285531119,0,0,494.196591225943
"30015",0,NA,NA,NA,NA,NA,NA
"28103",0,NA,NA,NA,NA,NA,NA
"28110",0,NA,NA,NA,NA,NA,NA
"45010",5421.41387635171,0,0,1787.866266117,0,0,0
"45011",15210.9018388091,0,0,1846.00704362535,0,0,55.1118103369915
"42012",12794.8854344673,0,454.622990465641,405.752057569317,426.74872889614,548.097266163341,1144.73442144967
"41035",14211.7806622228,0,158.184754386563,755.17209106523,516.058754015427,951.24269456479,207.363394162757
