"id","Rocks with essentially no groundwater","Moderately productive aquifer","Low productivity aquifer","Highly productive aquifer","Low productive aquifer","Modeately productivity aquifer","Unknown","Significant intergranular flow","Flow is virtually all through fractures and other discontinuities"
"35010",9303446.09370422,185982011.662247,10457519.5718689,90076085.1720428,0,0,9303446.09370422,196439531.234116,90076085.1720428
"35011",13669599.4630127,22775827.3602753,3925402.37132263,3973545.8059082,0,0,13669599.4630127,26701229.7315979,3973545.8059082
"35013",0,90741875.0001831,0,0,0,0,0,90741875.0001831,0
"35014",1694003.24639893,29428809.2539673,0,0,0,0,1694003.24639893,29428809.2539673,0
"36001",169939803.839714,227298308.219666,29758346.2029495,411018229.238495,0,0,169939803.839714,257056654.422615,411018229.238495
"36002",0,23842485.7833557,0,61772201.71698,0,0,0,23842485.7833557,61772201.71698
"36003",28821213.9450226,23306627.9085236,1892058.97380066,2700099.17271423,0,0,28821213.9450226,25198686.8823242,2700099.17271423
"36004",0,38574469.1362915,0,11751468.3637543,0,0,0,38574469.1362915,11751468.3637543
"36005",8992692.00585938,89594565.847702,9020890.22709656,48244664.4191589,0,0,8992692.00585938,98615456.0747986,48244664.4191589
"36006",104435506.705589,88685924.4139709,18761600.0102463,359467281.370804,0,0,104435506.705589,107447524.424217,359467281.370804
"36007",14343916.4818039,5542176.56848145,5166610.78525543,33108233.6643066,0,0,14343916.4818039,10708787.3537369,33108233.6643066
"36008",0,3832655.36553955,0,218986407.134735,0,0,0,3832655.36553955,218986407.134735
"36009",0,12793025.1597137,0,12766662.340271,0,0,0,12793025.1597137,12766662.340271
"36010",0,0,0,27581874.9997559,0,0,0,0,27581874.9997559
"36011",0,0,0,34239687.4997864,0,0,0,0,34239687.4997864
"36012",0,0,0,76646562.5002594,0,0,0,0,76646562.5002594
"36013",24596109.1546783,109260371.959732,9071107.69036865,48850848.6950073,0,0,24596109.1546783,118331479.650101,48850848.6950073
"36015",31169972.4071884,80489556.615448,11015632.6985397,358606088.279617,0,0,31169972.4071884,91505189.3139877,358606088.279617
"37001",295168360.454247,5877889.54561615,0,0,0,0,295168360.454247,5877889.54561615,0
"37002",496896858.147514,25940345.4561539,10658542.7509384,14322066.1458054,0,0,496896858.147514,36598888.2070923,14322066.1458054
"37003",77206596.4513702,557778.548561096,0,0,0,0,77206596.4513702,557778.548561096,0
"37004",256029434.583298,10758123.798645,19608119.9096527,55395259.2086182,0,0,256029434.583298,30366243.7082977,55395259.2086182
"37005",165211330.763695,733635.329231262,13840831.5020523,56101389.9045258,0,0,165211330.763695,14574466.8312836,56101389.9045258
"37006",210126883.091789,17719054.4080963,0,0,0,0,210126883.091789,17719054.4080963,0
"37007",117907508.091843,17719054.4080963,0,0,0,0,117907508.091843,17719054.4080963,0
"37008",160561198.860512,4078504.74316406,10658542.7509384,14322066.1458054,0,0,160561198.860512,14737047.4941025,14322066.1458054
"37009",51254176.4714127,9013323.52843475,0,0,0,0,51254176.4714127,9013323.52843475,0
"37010",173027136.030548,1082297.35161591,19608119.9096527,55395259.2086182,0,0,173027136.030548,20690417.2612686,55395259.2086182
"37011",47802828.6033173,0,10658542.7509384,14322066.1458054,0,0,47802828.6033173,10658542.7509384,14322066.1458054
"37012",1337486.0174408,337859.150947571,8562131.65093994,54254398.180275,0,0,1337486.0174408,8899990.80188751,54254398.180275
"37013",70604348.0628586,4095964.43722534,0,0,0,0,70604348.0628586,4095964.43722534,0
"37014",92650624.9997559,0,0,0,0,0,92650624.9997559,0,0
"37015",63700625.0000839,0,0,0,0,0,63700625.0000839,0,0
"37016",10239558.5221634,0,7149148.70250702,46409730.2754364,0,0,10239558.5221634,7149148.70250702,46409730.2754364
"37017",65287885.8429184,1082297.35161591,18611745.0970612,55395259.2086182,0,0,65287885.8429184,19694042.4486771,55395259.2086182
"37018",36977143.7126465,7763793.78728485,0,0,0,0,36977143.7126465,7763793.78728485,0
"37019",49802516.2374115,1737171.2625885,0,0,0,0,49802516.2374115,1737171.2625885,0
"37020",104387136.360268,4078504.74316406,10658542.7509384,14322066.1458054,0,0,104387136.360268,14737047.4941025,14322066.1458054
"37021",52534999.9999619,0,0,0,0,0,52534999.9999619,0,0
"37022",54977499.9995041,0,0,0,0,0,54977499.9995041,0,0
